Algorithm	File	ncol	Runtime	Redundancy	F1 Score
clustine_feature_select	glass.arff	3	0.013	0.3831424	0.662332493669858
clustine_deduplicate	glass.arff	3	0.015	0.1714357	0.67409582063917
clustine_just_compute	glass.arff	3	0.012	0.1939212	0.736406416024605
wrap_kNN	glass.arff	3	0.191	0.2125938	0.935750534776672
MI_rank	glass.arff	3	0.012	0.2125938	0.935750534776672
random_cols	glass.arff	3	0.001	0.2335511	0.809940531408245
random_cols	glass.arff	3	0	0.08810469	0.619048449890317
clustine_feature_select	glass.arff	3	0.009	0.3831424	0.664951541288906
clustine_deduplicate	glass.arff	3	0.014	0.1714357	0.665921342056528
clustine_just_compute	glass.arff	3	0.016	0.1939212	0.735099436356281
wrap_kNN	glass.arff	3	0.174	0.2125938	0.935750534776672
MI_rank	glass.arff	3	0.023	0.2125938	0.935750534776672
random_cols	glass.arff	3	0	0.2335511	0.806227202174112
random_cols	glass.arff	3	0	0.2556807	0.701721432960566
clustine_feature_select	glass.arff	3	0.015	0.3831424	0.674567036165222
clustine_deduplicate	glass.arff	3	0.011	0.1714357	0.669777443715751
clustine_just_compute	glass.arff	3	0.011	0.1939212	0.727127326605195
wrap_kNN	glass.arff	3	0.186	0.2125938	0.935750534776672
MI_rank	glass.arff	3	0.007	0.2125938	0.935750534776672
random_cols	glass.arff	3	0	0.1757728	0.642706980796324
random_cols	glass.arff	3	0	0.1673452	0.864988677146906
clustine_feature_select	liver.arff	3	0.007	0.1525262	0.804422704291416
clustine_deduplicate	liver.arff	3	0.008	0.1460565	0.632556872240777
clustine_just_compute	liver.arff	3	0.02	0.08933522	0.635650973577763
wrap_kNN	liver.arff	3	0.131	0.1754801	0.883378552704048
MI_rank	liver.arff	3	0.007	0.1754801	0.877661810556574
random_cols	liver.arff	3	0	0.3125685	0.522664335524915
random_cols	liver.arff	3	0	0.2224075	0.677632192050334
clustine_feature_select	liver.arff	3	0.009	0.1525262	0.807245310176682
clustine_deduplicate	liver.arff	3	0.009	0.1460565	0.624649916850108
clustine_just_compute	liver.arff	3	0.01	0.08933522	0.64125906408252
wrap_kNN	liver.arff	3	0.125	0.1754801	0.883555983102778
MI_rank	liver.arff	3	0.006	0.1754801	0.881244919549863
random_cols	liver.arff	3	0	0.3125685	0.527017043604813
random_cols	liver.arff	3	0.001	0.3125685	0.506971784762901
clustine_feature_select	liver.arff	3	0.01	0.1525262	0.797381990759044
clustine_deduplicate	liver.arff	3	0.008	0.1460565	0.63796814155914
clustine_just_compute	liver.arff	3	0.008	0.08933522	0.64683000171655
wrap_kNN	liver.arff	3	0.132	0.1754801	0.886630643736262
MI_rank	liver.arff	3	0.02	0.1754801	0.886036439446951
random_cols	liver.arff	3	0	0.133186	0.662649587986892
random_cols	liver.arff	3	0.001	0.3125685	0.53261839086442
clustine_feature_select	shape.arff	3	0.015	0.27497	0.900609208311898
clustine_deduplicate	shape.arff	3	0.012	0.3531564	0.906999529785346
clustine_just_compute	shape.arff	3	0.025	0.3359256	0.814542812333413
wrap_kNN	shape.arff	3	0.342	0.3139595	0.939316159014926
MI_rank	shape.arff	3	0.022	0.3531564	0.913176000373581
random_cols	shape.arff	3	0	0.2022871	0.874103911921671
random_cols	shape.arff	3	0	0.1926009	0.797638569779207
