Algorithm	File	ncol	Runtime	Redundancy	F1 Score
clustine_feature_select	glass.arff	3	0.012	0.3831424	0.648622216693111
clustine_deduplicate	glass.arff	3	0.009	0.2337755	0.635448406738518
clustine_just_compute	glass.arff	3	0.013	0.1939212	0.73657725650283
wrap_kNN	glass.arff	3	0.175	0.2064092	0.937374176838873
MI_rank	glass.arff	3	0.021	0.2125938	0.925192201846244
random_cols	glass.arff	3	0	0.1036464	0.738250300535627
random_cols	glass.arff	3	0	0.3100005	0.599727683296601
clustine_feature_select	glass.arff	3	0.009	0.3831424	0.653347124199974
clustine_deduplicate	glass.arff	3	0.011	0.2337755	0.645059643447622
clustine_just_compute	glass.arff	3	0.014	0.1939212	0.736330310034727
wrap_kNN	glass.arff	3	0.169	0.2125938	0.925192201846244
MI_rank	glass.arff	3	0.01	0.2125938	0.925192201846244
random_cols	glass.arff	3	0	0.2556319	0.617793659744582
random_cols	glass.arff	3	0	0.1466594	0.776893739933152
clustine_feature_select	glass.arff	3	0.014	0.3831424	0.653001293006685
clustine_deduplicate	glass.arff	3	0.008	0.2337755	0.649911894434909
clustine_just_compute	glass.arff	3	0.009	0.1939212	0.735423510067777
wrap_kNN	glass.arff	3	0.192	0.2125938	0.925192201846244
MI_rank	glass.arff	3	0.008	0.2125938	0.925192201846244
random_cols	glass.arff	3	0	0.3547239	0.650016366866036
random_cols	glass.arff	3	0	0.1551777	0.875214648102003
clustine_feature_select	liver.arff	3	0.011	0.1525262	0.775731930340024
clustine_deduplicate	liver.arff	3	0.008	0.1754801	0.874946691840142
clustine_just_compute	liver.arff	3	0.009	0.08933522	0.627246880084232
wrap_kNN	liver.arff	3	0.125	0.1279505	0.874554584718493
MI_rank	liver.arff	3	0.007	0.1754801	0.878609143204376
random_cols	liver.arff	3	0.001	0.3206463	0.6224311949379
random_cols	liver.arff	3	0.001	0.3505024	0.682474953847251
clustine_feature_select	liver.arff	3	0.01	0.1525262	0.773486660848378
clustine_deduplicate	liver.arff	3	0.008	0.1754801	0.873171410841679
clustine_just_compute	liver.arff	3	0.009	0.08933522	0.633846429954345
wrap_kNN	liver.arff	3	0.125	0.1754801	0.875842815523953
MI_rank	liver.arff	3	0.007	0.1754801	0.874946691840142
random_cols	liver.arff	3	0	0.5902454	0.528335897185988
random_cols	liver.arff	3	0	0.268941	0.671655744457031
clustine_feature_select	liver.arff	3	0.013	0.1525262	0.778248879306249
clustine_deduplicate	liver.arff	3	0.024	0.1754801	0.880931172690352
clustine_just_compute	liver.arff	3	0.009	0.08933522	0.631321392317048
wrap_kNN	liver.arff	3	0.116	0.1754801	0.872275287157868
MI_rank	liver.arff	3	0.009	0.1754801	0.878198754337316
random_cols	liver.arff	3	0	0.1917201	0.862216693086127
random_cols	liver.arff	3	0	0.268941	0.6694336443677
clustine_feature_select	shape.arff	3	0.023	0.27497	0.916839605080435
clustine_deduplicate	shape.arff	3	0.013	0.3531564	0.91128380020314
clustine_just_compute	shape.arff	3	0.019	0.3359256	0.828813254492159
wrap_kNN	shape.arff	3	0.305	0.2283559	0.943397317786836
MI_rank	shape.arff	3	0.013	0.3531564	0.91128380020314
random_cols	shape.arff	3	0.001	0.1950003	0.837501154945711
random_cols	shape.arff	3	0	0.2975639	0.898142510418351
clustine_feature_select	shape.arff	3	0.016	0.27497	0.901498685545968
clustine_deduplicate	shape.arff	3	0.015	0.3531564	0.91128380020314
clustine_just_compute	shape.arff	3	0.013	0.3359256	0.83518156751541
wrap_kNN	shape.arff	3	0.294	0.3139595	0.958286041836089
MI_rank	shape.arff	3	0.02	0.3531564	0.91128380020314
random_cols	shape.arff	3	0	0.3918093	0.734271754338121
random_cols	shape.arff	3	0	0.2242247	0.838863976875933
clustine_feature_select	shape.arff	3	0.019	0.27497	0.901498685545968
clustine_deduplicate	shape.arff	3	0.01	0.3531564	0.91128380020314
clustine_just_compute	shape.arff	3	0.017	0.3359256	0.841221619153814
wrap_kNN	shape.arff	3	0.314	0.2283559	0.931265151800686
MI_rank	shape.arff	3	0.028	0.3531564	0.91128380020314
random_cols	shape.arff	3	0	0.2260494	0.878488921453393
random_cols	shape.arff	3	0	0.3850177	0.785961097861833
clustine_feature_select	diabetes.arff	3	0.012	0.1411101	0.75481326843881
clustine_deduplicate	diabetes.arff	3	0.013	0.1261976	0.568722296902802
clustine_just_compute	diabetes.arff	3	0.013	0.1411101	0.754610118351354
wrap_kNN	diabetes.arff	3	0.264	0.1235414	0.792408569930704
MI_rank	diabetes.arff	3	0.022	0.3083837	0.69675595818041
random_cols	diabetes.arff	3	0.001	0.1104864	0.691553997107929
random_cols	diabetes.arff	3	0	0.08948611	0.757819935137534
clustine_feature_select	diabetes.arff	3	0.015	0.1411101	0.753477226313271
clustine_deduplicate	diabetes.arff	3	0.014	0.1261976	0.563324247736511
clustine_just_compute	diabetes.arff	3	0.013	0.1411101	0.754265847104196
wrap_kNN	diabetes.arff	3	0.259	0.2200129	0.791722720426634
MI_rank	diabetes.arff	3	0.017	0.3083837	0.690652786106049
random_cols	diabetes.arff	3	0	0.1104864	0.68797654609352
random_cols	diabetes.arff	3	0.001	0.1050898	0.578359437191923
